1032.1,-293.88,828.06
1032.1,-255.75,829.19
1032.2,-264.19,834.12
1032.3,-209.3,818.44
1032.3,-210.38,822.02
1032.6,-148.33,802.75
1032.8,-71.116,814.52
1032.8,-31.186,797.13
1032.9,-39.916,823.35
1032.9,-12.679,813.51
1032.9,5.3547,811.16
1033,42.821,769.25
1033,22.501,794.72
1033.1,68.374,740.45
1033.1,104.05,785.65
1033.2,72.121,806.08
1033.2,82.254,808.51
1033.2,89.868,803.89
1033.3,141.71,787.25
1033.3,154.36,784.91
1033.3,177.82,780.36
1033.4,180.2,787.49
1033.4,168.21,810.11
1033.4,194.49,788.28
1033.5,180.26,818.71
1033.5,200.47,815.06
1033.5,200.13,828.93
1033.6,218.36,828.25
1033.6,236.57,801.19
1033.6,242.41,791.59
1033.7,258.88,785.27
1033.7,246.18,810.09
1033.7,264.51,795.03
1033.8,272.83,804.54
1033.8,251.72,827.71
1033.9,273.06,834.1
1033.9,317.75,812.42
1033.9,324.56,809.21
1034,375.04,802.3
1034.1,286.05,864.6
1034.2,367.21,831.79
1034.2,360.71,848.3
1034.2,340.32,874.87
1034.3,348.3,887.21
1034.3,346.56,888.74
1034.3,357.64,893.04
1034.4,350.36,893.44
1034.4,342.99,898.76
1034.5,508.84,776.34
1034.8,645.33,778.48
1034.8,414.9,957.36
1034.9,649.47,804.44
1034.9,493.44,972.38
1035,672.3,831.35
1035,534.02,960.21
1035,521.11,949.91
1035.1,496.95,947.38
1035.1,510.59,959.76
1035.1,505.48,952.13
1035.2,524.01,956.36
1035.2,540.69,958.39
1035.2,501.52,977.56
1035.3,526.02,969.79
1035.3,537.91,968.04
1035.3,519.52,978.18
1035.4,527.73,975.88
1035.4,503.33,992.36
1035.4,569.62,1006.3
1035.5,636.08,1019.9
1035.6,566.93,975.71
1035.6,615.44,991.14
1035.6,584.12,980.64
1035.7,622.88,1032.6
1035.7,610.16,1021.8
1035.7,605.18,1021.9
1035.8,615.54,1029
1035.8,616.19,1034.9
1035.8,622.36,1034.3
1035.9,618.03,1020.4
1035.9,629.3,1048.4
1035.9,643.71,1051.6
1036,623.9,1043.5
1036,639.31,1068.2
1036,646.78,1072.7
1036.1,635.24,1045.7
1036.1,653.89,1059.7
1036.1,653.66,1017.1
1036.2,677.27,1067.7
1036.2,691.38,1053.6
1036.2,689.07,1069.7
1036.3,700.01,1035.8
1036.3,702.56,1066.7
1036.3,736.61,1074.3
1036.4,753.31,1084.8
1036.4,751,1096.2
1036.4,754.62,1091.1
1036.5,757.74,1093.2
1036.5,765.34,1116.9
1036.5,775.05,1116.5
1036.6,788.44,1117.3
1036.6,762,1126.9
1036.6,792.11,1127.7
1036.7,792.87,1132.3
1036.7,791.99,1126.1
1036.7,771.74,1104.4
1036.8,771.73,1099.8
1036.8,784.23,1134.6
1036.8,789.26,1110.4
1036.9,804.47,1135.9
1036.9,814.74,1140.1
1036.9,806.34,1176.3
1037,798.46,1177.4
1037,844.74,1175.6
1037,832.68,1177.4
1037.1,857.72,1186.1
1037.1,893.35,1175.8
1037.1,876.57,1195.9
